"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853090100638560427","Sun Nov 03 15:01:23 +0000 2024","0","Yuk yang masih nyari trio konser 2ne1 area Purwakarta-Karawang masih ada slot","1853090100638560427","","","in","Purwakarta, Indonesia","0","0","0","https://x.com/hellopinkcloud/status/1853090100638560427","1072662056329895936","hellopinkcloud"
"1853089758672527402","Sun Nov 03 15:00:01 +0000 2024","0","RTP SLOT GACOR HARI INI POLA SLOT GACOR GAMPANG MAXWIN SITUS SLOT TEPERCAYA LINK GACOR : https://t.co/KHN48jfDXc AESPA KARINA NING NING GISELLE WINTER https://t.co/piwnqBF1sh","1853089758672527402","https://pbs.twimg.com/ext_tw_video_thumb/1852674442532642816/pu/img/F47qSO12oezzaK6b.jpg","","in","","0","0","0","https://x.com/strawberrises/status/1853089758672527402","2650941025","strawberrises"
"1853089718352887936","Sun Nov 03 14:59:52 +0000 2024","0","abis pulang main trs buka tl isinya aespa tiktokan sama itzy stayc‍‍","1853089718352887936","","","in"," byf read my rentry ","0","0","0","https://x.com/karinangitiss/status/1853089718352887936","1165989154443784192","karinangitiss"
"1853089489750728913","Sun Nov 03 14:58:57 +0000 2024","0","jd keinget kmrn malem mimpiin jimin jungkook jennie jessi ama karina (jimin aespa) collab bikin album d satu naungan producer yg sama wkwkwk nama albumnya Always me(?) isinya ada 13 track list trus inisial nama grup collab nya King J karna semua namanya dr J wkwkwkwkwk","1853089489750728913","","","in","01', new acc","0","0","0","https://x.com/dolljungji/status/1853089489750728913","1833145475425533952","dolljungji"
"1853074598952337500","Sun Nov 03 14:56:26 +0000 2024","0","@aespa_official Gendong :( @payin","1853088855249056101","","aespa_official","in","⠀⣷⠀◟ ͜ ̣̣̥  ͜  ‿⠀⠀...⠀⠀“𝖯͟𝖾͟𝗋͟𝗂͟𝗌͟𝗁͟𝖾͟𝖽͟.𝗅͟𝗒”⠀⠀𓇚 ᮫⠀࣭⠀⣾
⠀𝟸𝟶/𝟶𝟷, ⠀𝖡𝗅𝗂𝗌𝗌𝖿𝗎𝗅𝗅  𝗐𝗂𝗍𝗁  𝖠𝖾𝗌𝗉𝖺⠀ノ⠀‘𝖳𝖺𝗅𝖾.’","0","1","0","https://x.com/minjsong/status/1853088855249056101","221224185","minjsong"
"1853088846143221806","Sun Nov 03 14:56:24 +0000 2024","0","ada untungnya aespa stayc itzy kiss of life kambek nya deketan https://t.co/Vrd24j6Ios","1853088846143221806","https://pbs.twimg.com/amplify_video_thumb/1853051507626958848/img/crt-R4ydzpBt3gvK.jpg","","in"," byf read my rentry ","0","1","0","https://x.com/karinangitiss/status/1853088846143221806","1165989154443784192","karinangitiss"
"1853074598952337500","Sun Nov 03 14:55:47 +0000 2024","0","@aespa_official okee jdi kpn collab kak","1853088693067927675","","aespa_official","in","","0","0","0","https://x.com/vinakiooo/status/1853088693067927675","1295329368722399233","vinakiooo"
"1853074598952337500","Sun Nov 03 14:54:53 +0000 2024","1","@aespa_official KARINA RYUJIN BESTIE ABISSS","1853088463710511451","","aespa_official","in","mdni","0","0","0","https://x.com/sabixkxla/status/1853088463710511451","1014824737992634369","sabixkxla"
"1850748554937315546","Sun Nov 03 14:54:47 +0000 2024","0","@Jeemirn @Jongseonn ntar kalo jeemirn izna wisuda ningning aespa nyamper yaaa","1853088440398860632","","Jeemirn","in","2002 ‎. 𖥔 🐈‍⬛ #0223-FOLKS!","0","1","0","https://x.com/eyizuo/status/1853088440398860632","790773152871698432","eyizuo"
"1853088235683225768","Sun Nov 03 14:53:58 +0000 2024","1","eh ni cowo emg udh gaberes dari awal jir kurang ajar","1853088235683225768","","","in","106'23","0","0","0","https://x.com/namedlatte/status/1853088235683225768","1331792174762000386","namedlatte"
"1853074598952337500","Sun Nov 03 14:53:25 +0000 2024","0","@aespa_official Yeji makin keren cuy","1853088095945830578","","aespa_official","in","","0","0","0","https://x.com/laracandy24/status/1853088095945830578","1600315316529078272","laracandy24"
"1853088077574807639","Sun Nov 03 14:53:21 +0000 2024","0","Itzy aespa tukeran lagu bisa dong flis melanjutkan twice rv legacy ","1853088077574807639","","","in","She/her","0","0","0","https://x.com/bapmeokjae_hsw/status/1853088077574807639","972148322621210624","bapmeokjae_hsw"
"1853053680221892884","Sun Nov 03 14:52:26 +0000 2024","0","@Gomvinsi menurut mu bagusan irene aespa atau irene twice?","1853087848855195744","","Gomvinsi","in","SND ","0","1","0","https://x.com/Lepyeux/status/1853087848855195744","992158063439196160","Lepyeux"
"1848947661736681784","Sun Nov 03 14:52:18 +0000 2024","0","@Karineyoo Boleeeh! Tapi nggak ada mama-nya gapapa ya? Btw asik betul abang ngobrol sama Karineyoo aespa #real ada birunya!","1853087815070077213","","Karineyoo","in","Insurgent, No. 127Walk","0","0","0","https://x.com/Taeyongw/status/1853087815070077213","1007649997","Taeyongw"
"1853087634152927626","Sun Nov 03 14:51:35 +0000 2024","5","241103 P-pop group AJAA dancing to #aespaWhiplash #aespa #에스파 #카리나 #윈터 #지젤 #닝닝 https://t.co/S7Jdtgnsrs","1853087634152927626","https://pbs.twimg.com/ext_tw_video_thumb/1853087487931158529/pu/img/Sq-hNqVlodwqBM0e.jpg","","in","Republic of the Philippines","0","1","1","https://x.com/aespaverse1117/status/1853087634152927626","1837319072322834432","aespaverse1117"
"1853050504143872064","Sun Nov 03 14:51:31 +0000 2024","0","@sbyfess Aku SM stan sejak dari SMP Tumbuh besar bersama SNSD F(x) RV sekarang ngikutin Aespa","1853087618734739701","","sbyfess","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/serein_bleu/status/1853087618734739701","1611271357542825984","serein_bleu"
"1853087534060048501","Sun Nov 03 14:51:11 +0000 2024","2","Fans aespa yg dateng dengan narasi nyalahin fearnot kalo lu buka akunnya terus scrolling pasti dapet tuh tweetnya mereka yg ngebully fimmies dengan like tembus ribuan sampe puluhan ribu. Emang pada pinter bikin narasi playing victim dan kpopers lain 100% percaya omongan mereka ","1853087534060048501","","","in","","0","0","0","https://x.com/byeolaoi/status/1853087534060048501","1441528609693265920","byeolaoi"
"1853072016934588533","Sun Nov 03 14:41:42 +0000 2024","0","@shinyugemoy dia juga minta vote sama mys tau aku liat tadi pas video aespa fyp abis itu ada komen dia muncul paling atas","1853085148071567631","","shinyugemoy","in","gll:+ | she/her | love :||:+","0","1","0","https://x.com/leewonisfp/status/1853085148071567631","1623579065520369664","leewonisfp"
"1852607796753400065","Sun Nov 03 14:40:17 +0000 2024","0","@yuujimyn aku lg sibuk bengong dan nganggur unnie :3 padahal pengennya comeback bareng lg sama aespa :0","1853084790288982437","","yuujimyn","in","위클리의 V/VI . . 20!O4_꩜%","0","0","0","https://x.com/jihawnie/status/1853084790288982437","870303300788174848","jihawnie"
"1853084786899710408","Sun Nov 03 14:40:16 +0000 2024","1","honorary 5th aespa member","1853084786899710408","","","in","","0","0","0","https://x.com/jinyoungisms/status/1853084786899710408","4651452871","jinyoungisms"
"1853077699256103183","Sun Nov 03 14:39:07 +0000 2024","0","@hnderyna takut kesebar klo sebenernya aku kembaran Karina aespa ","1853084499334369604","","hnderyna","in","","0","1","0","https://x.com/rozantineargen/status/1853084499334369604","748719300","rozantineargen"
"1853084490069152161","Sun Nov 03 14:39:05 +0000 2024","1","READY STOCK STRAY KIDS WORLD TOUR (DominATE JAKARTA) 21 DESEMBER Madya Stadium GBK IME - https://t.co/vRuDl3dBqT (belum plan kasih diskon soalnya row dan qn bagus) vip c row a (4 tix) 6000K/tix cat 1a qn 3-4-5-6 (4 tix) 5500K/tix https://t.co/lJUCgp8uow","1853084490069152161","https://pbs.twimg.com/media/Gbd6hf9aMAAPLnF.jpg","","in","","0","0","0","https://x.com/valereekpopshop/status/1853084490069152161","1658790610256695296","valereekpopshop"
"1853084452307509376","Sun Nov 03 14:38:56 +0000 2024","0","Halo siapa RP ITZY aespa KISS OF LIFE boleh riflih. Kehadiranmu sangat dinantikan. https://t.co/mgKGYdDQK3","1853084452307509376","","","in","STRICTLY SELFOL GEN!RP","0","1","0","https://x.com/menfess/status/1853084452307509376","1288841351321149442","menfess"
"1853084305121218708","Sun Nov 03 14:38:21 +0000 2024","1","WTS MAROON5 IN ASIA 2025 - JAKARTA Pricelist Cat 1 10.800K Ready 5 TIX (uda dapet gelang wraistband pada saat sudah dibuka penukaran tanpa antri) Cat 1 10.200K Ready 5 TIX (dapat evoucher) Cat 2 5.640K Ready 5 TIX (dapat evoucher) Festival 5.400K Ready 5 TIX (dapat evoucher) https://t.co/fVpVnHUHun","1853084305121218708","https://pbs.twimg.com/media/Gbd6WwXbAAAMNOv.jpg","","in","","0","0","0","https://x.com/valereekpopshop/status/1853084305121218708","1658790610256695296","valereekpopshop"
"1853084285567418447","Sun Nov 03 14:38:16 +0000 2024","0","Timeline penuh Seventeen Super Junior Day6 (moots saya hardcore) SNSD ataupun Aespa (moots saya hardcore juga)!","1853084285567418447","","","in","Cheras  Kuala Lumpur","0","0","0","https://x.com/AiminSimba/status/1853084285567418447","298414046","AiminSimba"
"1853084194093834370","Sun Nov 03 14:37:55 +0000 2024","0","I need aespa and illit do a challenge (walupun kykny harapan fana) tapi plisss ","1853084194093834370","","","in","she/her (23) - sapphic/biseks","0","0","0","https://x.com/ketekchan_/status/1853084194093834370","1742145416387547136","ketekchan_"
"1853000257363468707","Sun Nov 03 14:37:34 +0000 2024","0","@peopleofkolor @lattejoohyeon Contoh lagi ya skrg kalau konsep ai dan futuristik itu identik dg Aespa. Nah kalau ada yg ngikutin trus bbrp scene jg mirip ya bakal berisiko dibilang plagiat. 2ne1 jg futuristik tp aespa waktu keluar jg g dibilang plagiat. Jd kesan org emg valid buat penilaian art","1853084108022513728","","HajiShoyo","in","","0","0","0","https://x.com/HajiShoyo/status/1853084108022513728","1390680394396147721","HajiShoyo"
"1853084098593685806","Sun Nov 03 14:37:32 +0000 2024","0","Semoga rejeki dan longlastingnya aespa bisa kyk soshi","1853084098593685806","","","in","+62 ✮ ","0","0","0","https://x.com/gyulpeach/status/1853084098593685806","749958248954892288","gyulpeach"
"1853074598952337500","Sun Nov 03 14:37:11 +0000 2024","0","@aespa_official @fimtonin VALULU ","1853084012543132007","","aespa_official","in","toninas 🫧","0","0","0","https://x.com/jiwonphare/status/1853084012543132007","1614446406877741057","jiwonphare"
"1853083981400682609","Sun Nov 03 14:37:04 +0000 2024","0","Imho lsf ini enak kok lagunya cuma memang gak yang vocally-satisfying. Fansnya mestinya sadar diri sih sama kemampuan grupnya jadi gak usah juga berani ngebandingin sama aespa yang all-rounder. Imej fans sama grupnya jadi jatoh barengan‍️","1853083981400682609","","","in","","0","0","0","https://x.com/aegimaw/status/1853083981400682609","1807090209479360512","aegimaw"
"1853063513335558595","Sun Nov 03 14:36:38 +0000 2024","0","@Yoonsmores @YJMXLN4 Kat mana nak tanya quotation dengan availability. Saya nak book kugiran aespa ni untuk kenduri ","1853083872462073866","","Yoonsmores","in","","0","0","0","https://x.com/Qus_Jaslenda/status/1853083872462073866","2612693251","Qus_Jaslenda"
"1853083750240002242","Sun Nov 03 14:36:09 +0000 2024","0","gak perlu...dh ada AESPA","1853083750240002242","","","in","she","0","0","0","https://x.com/Senjajaeyong1/status/1853083750240002242","1198788924467859457","Senjajaeyong1"
"1853083193693626600","Sun Nov 03 14:33:56 +0000 2024","0","Sumpah ini bener bikin aku shock Kok sampe kepikiran naro foto di pinterest dan sampe bikin akunnya WOW bener aespa bikin konsep yg serba divital dan modern bgt salut sama produser staff dan membernya ","1853083193693626600","","","in","","0","0","0","https://x.com/MaHyukHee/status/1853083193693626600","1187560027298525184","MaHyukHee"
"1853074598952337500","Sun Nov 03 14:33:28 +0000 2024","0","@aespa_official Ya ampun Winter sama Yeji kalian mau aku meninggal apa ya","1853083076651622622","","aespa_official","in","","0","0","0","https://x.com/satorugojoe/status/1853083076651622622","1269836442093510656","satorugojoe"
"1853074598952337500","Sun Nov 03 14:32:46 +0000 2024","0","@aespa_official aku lah target pasarnya","1853082900922761223","","aespa_official","in","staywolland","0","0","0","https://x.com/vvchandesu/status/1853082900922761223","1028491643580637184","vvchandesu"
"1853082250155344330","Sun Nov 03 14:30:56 +0000 2024","0","@bulanrpw Aku pleasee Aktif dm ","1853082437225730174","","bulanrpw","in","","0","0","0","https://x.com/not_aespa/status/1853082437225730174","2432259279","not_aespa"
"1853072185784504412","Sun Nov 03 14:30:34 +0000 2024","1","@starfess Aespa dan itzy gamau buat konten vlog gtu kah bestie... ","1853082346003804240","","starfess","in","urheart","0","0","0","https://x.com/gwincard/status/1853082346003804240","1688012707822465024","gwincard"
"1853082302026563849","Sun Nov 03 14:30:24 +0000 2024","0","kata bapa kumbang padahal croissant T___T https://t.co/bzxgpAi4mt","1853082302026563849","https://pbs.twimg.com/media/Gbd4SJgbMAAdWzo.jpg","","in","","0","0","0","https://x.com/kkimshion/status/1853082302026563849","1238122585591656456","kkimshion"
"1853082299031789577","Sun Nov 03 14:30:23 +0000 2024","0","Aespa itzy stan stop berantem nih idol kalian bestian","1853082299031789577","","","in","","0","0","0","https://x.com/yacultsesat/status/1853082299031789577","1606816740","yacultsesat"
